midi_note,velocity,duration,label
75,71,1.3406434479999998,0
63,71,1.3833419990000002,0
73,77,0.32292466100000006,0
60,77,2.006262705,0
68,77,0.1875198960000004,0
47,67,2.7614933150000005,0
53,67,2.272914892,0
62,72,0.5093662889999999,0
74,61,1.1979104489999992,0
73,78,0.8948031189999996,0
67,69,2.118774780999999,0
62,69,1.8874822359999994,0
72,66,0.2156130420000002,0
71,60,0.3614536149999994,0
46,60,2.208332099999999,0
70,60,0.3448096869999997,0
54,67,2.3343800979999996,0
58,67,2.2875263739999987,0
67,78,0.4000085629999983,0
68,68,0.3843770349999982,0
71,63,0.7281154809999997,0
67,72,0.40417453700000117,0
74,72,0.3208289579999999,0
73,69,0.23856228400000035,0
68,68,0.17707567100000077,0
53,68,1.5000070310000044,0
61,67,1.5625011170000054,0
67,67,0.2489713240000011,0
62,73,1.5437569190000051,0
73,71,0.28227225900000086,0
68,71,0.2593739270000004,0
64,79,0.5447780809999987,0
72,79,0.3770801660000007,0
67,69,0.37292021800000086,0
51,68,1.3531561420000013,0
64,73,0.4270848849999993,0
61,73,1.6197876119999997,0
62,73,1.5031204979999995,0
67,66,0.5083165079999983,0
73,74,0.6718993080000004,0
70,74,0.2822716209999996,0
68,59,0.08437620700000004,0
67,65,0.18647918699999977,0
75,78,0.19896956200000027,0
69,69,0.1520830790000005,0
63,74,0.21456818899999952,0
74,71,0.1416474480000005,0
68,73,0.12916153600000158,0
62,77,0.15000487700000065,0
72,78,0.03852595700000094,0
67,65,0.09685945200000035,0
62,71,0.32393624399999865,0
63,78,0.1614422640000015,0
70,84,0.11143712200000166,0
62,80,0.20937843500000142,0
59,56,0.09376417000000004,0
69,78,0.10935437099999845,0
68,82,0.2343673939999995,0
66,78,0.20103598900000108,0
62,67,0.11459366200000076,0
55,32,0.0687371859999999,0
61,75,0.10936550999999994,0
66,86,0.13751652599999886,0
62,74,0.0979026129999987,0
69,82,0.09061175300000102,0
63,89,0.08436805899999911,0
60,83,0.2791469909999975,0
68,73,0.1437604809999975,0
61,73,0.10520428999999965,0
60,74,0.10626762300000081,0
67,80,0.1854065570000003,0
62,76,0.06770956000000083,0
57,78,0.05414995099999942,0
66,91,0.1427325709999998,0
61,71,0.1000002639999984,0
60,78,0.14792633299999736,0
61,78,0.08124761799999902,0
62,81,0.09375251599999856,0
68,93,0.12185987599999848,0
62,59,0.0510431010000012,0
60,72,0.11875349600000007,0
69,78,0.0958420689999997,0
62,86,0.09061236499999836,0
60,76,0.09165527900000114,0
50,74,0.1468736559999968,0
57,74,0.11456703799999701,0
59,88,0.08750540699999831,0
