source_id,midi_note,velocity,ck_deltatime,dif_deltatime,
128,60,66,0.16878025400000007,0,
128,63,59,0.185406709,0,
128,70,59,0.1843631200000002,0,
128,60,66,0.1697571710000001,0,
128,63,64,0.182325203,0,
128,70,60,0.1874688670000002,0,
128,60,65,0.14691788000000017,0,
128,63,61,0.1822753989999999,0,
128,70,59,0.196884893,0,
128,73,64,0.14998764999999992,0,
128,66,68,0.09478495699999989,0,
128,65,65,0.156271061,0,
128,73,65,0.16145787700000014,0,
128,66,66,0.11457223900000013,0,
128,65,65,0.1479275109999998,0,
128,73,64,0.16666732100000026,0,
128,66,67,0.13123653300000004,0,
128,65,79,0.05729658999999998,0,
128,65,69,0.13231009300000007,0,
128,66,59,0.15518627099999982,0,
128,67,74,0.11562405199999937,0,
128,65,66,0.14481745600000018,0,
128,66,65,0.14894158900000054,0,
128,67,71,0.1322903249999996,0,
128,65,72,0.12292475300000039,0,
128,66,60,0.15105797300000035,0,
128,67,62,0.08436326100000002,0,
