midi_note,velocity,duration
60,55,0.16877433200000003
63,71,0.18540084300000004
70,62,0.18440020600000007
60,71,0.16980136200000007
63,73,0.18230006799999998
70,64,0.18749906299999997
60,64,0.14688427599999998
63,68,0.18230907900000015
70,68,0.19685512200000033
73,71,0.14998849400000003
66,65,0.09478442999999981
65,71,0.15627295600000002
73,64,0.16146237999999968
66,64,0.11459367700000023
65,71,0.14790683599999976
73,62,0.1666669900000004
66,62,0.1312557700000001
65,57,0.05726414599999963
65,71,0.13227965000000008
66,62,0.15518159600000025
67,62,0.11562313599999996
65,68,0.14481253599999988
66,65,0.14894675099999954
67,65,0.13228949799999956
65,62,0.12292559700000005
66,68,0.1510326209999997
67,54,0.08439390800000002
