source_id,midi_note,velocity,deltatime,ck_deltatime,dif_deltatime
144, 60, 85,0.021696415,0.021696415,0
128, 60, 77,0.062140618,0.083837033,0.06214061800000001
144, 60, 84,0.19300940000000003,0.276846433,0.1930094
128, 60, 77,0.144523766,0.421370199,0.144523766
144, 60, 88,0.026524491,0.44789469,0.026524490999999983
128, 60, 77,0.140829006,0.588723696,0.14082900599999998
144, 60, 90,0.009745921000000001,0.598469617,0.009745921000000046
128, 60, 76,0.0095226,0.6079922170000001,0.009522600000000048
144, 60, 90,0.033576954,0.6415691710000001,0.03357695400000005
128, 60, 75,0.16257759400000002,0.8041467650000002,0.16257759400000005
144, 63, 96,0.013135083,0.8172818480000001,0.013135082999999992
128, 63, 69,0.135626987,0.9529088350000001,0.13562698699999998
144, 66, 98,0.02142237,0.9743312050000001,0.021422370000000024
128, 66, 66,0.189534521,1.163865726,0.1895345209999999
144, 63, 94,0.042897876,1.206763602,0.04289787600000006
128, 63, 68,0.14776572300000002,1.3545293250000001,0.14776572300000002
144, 60, 85,0.175297051,1.5298263760000002,0.17529705100000004
128, 60, 74,0.09018773000000001,1.6200141060000002,0.09018773000000002
144, 66, 91,0.18504119800000002,1.8050553040000001,0.18504119799999996
128, 66, 69,0.11667211100000001,1.921727415,0.11667211099999997
144, 60, 83,0.0026562250000000003,1.92438364,0.0026562249999999565
128, 60, 74,0.108533869,2.0329175090000002,0.10853386900000017
144, 66, 93,0.019505011000000003,2.0524225200000004,0.019505011000000128
128, 66, 68,0.051710240000000005,2.10413276,0.051710239999999796
144, 60, 80,0.163902655,2.268035415,0.1639026549999998
128, 60, 76,0.011977305,2.2800127199999998,0.011977304999999827
