source_id,midi_note,velocity,ck_deltatime,dif_deltatime,
177,64,0,0.0,0,
144,60,55,1.5218717750000001,0.0,
128,60,66,1.6906111220000002,0.168739347,
144,63,65,1.702062211,0,
144,70,71,1.8833273940000002,0,
128,63,59,1.8874997300000003,0.0041723360000000004,
144,60,62,2.0395663560000004,0,
128,70,59,2.0676838150000005,0.028117459,
144,63,71,2.1926862490000003,0,
128,60,66,2.209352781,0.016666532,
144,70,73,2.3729070740000004,0,
128,63,64,2.3749932420000004,0.0020861680000000002,
144,60,64,2.5447840860000004,0,
128,70,60,2.5604076790000003,0.015623593000000002,
128,60,65,2.6916692970000002,0.131261618,
144,63,73,2.697905088,0,
144,70,68,2.86561433,0,
128,63,61,2.880208567,0.014594237000000001,
128,70,59,3.062484353,0.18227578600000002,
144,73,71,4.315632578,0,
128,73,64,4.465620114,0.149987536,
144,66,65,4.467706282,0,
128,66,68,4.562474452,0.09476817000000001,
144,65,58,4.610387828,0,
144,73,71,4.744780411000001,0,
128,65,65,4.766662507,0.021882096,
144,66,64,4.904168236,0,
128,73,65,4.906254404,0.0020861680000000002,
128,66,66,5.0187409050000005,0.112486501,
144,65,57,5.0635253360000005,0,
144,73,71,5.209370097000001,0,
128,65,65,5.211456264000001,0.0020861670000000003,
144,66,62,5.373958044000001,0,
128,73,64,5.376021506000001,0.0020634620000000003,
128,66,67,5.5052190670000005,0.12919756100000002,
144,65,57,5.541681798000001,0,
128,65,79,5.598960954000001,0.057279156000000005,
