source_id,midi_note,velocity,ck_deltatime,dif_deltatime,
177,64,0,0.0,0,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
128,63,59,1.8875023260000001,0.0041723360000000004,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
128,63,59,1.8875023260000001,0.0041723360000000004,
144,60,62,2.03958216,0,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
128,63,59,1.8875023260000001,0.0041723360000000004,
144,60,62,2.03958216,0,
128,70,59,2.0676998810000002,0.028117721000000002,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
128,63,59,1.8875023260000001,0.0041723360000000004,
144,60,62,2.03958216,0,
128,70,59,2.0676998810000002,0.028117721000000002,
144,63,71,2.192687901,0,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
128,63,59,1.8875023260000001,0.0041723360000000004,
144,60,62,2.03958216,0,
128,70,59,2.0676998810000002,0.028117721000000002,
144,63,71,2.192687901,0,
128,60,66,2.2093427020000003,0.016654801,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
128,63,59,1.8875023260000001,0.0041723360000000004,
144,60,62,2.03958216,0,
128,70,59,2.0676998810000002,0.028117721000000002,
144,63,71,2.192687901,0,
128,60,66,2.2093427020000003,0.016654801,
144,70,73,2.3729009710000004,0,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
128,63,59,1.8875023260000001,0.0041723360000000004,
144,60,62,2.03958216,0,
128,70,59,2.0676998810000002,0.028117721000000002,
144,63,71,2.192687901,0,
128,60,66,2.2093427020000003,0.016654801,
144,70,73,2.3729009710000004,0,
128,63,64,2.3749871390000004,0.0020861680000000002,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
128,60,66,1.690625641,0.16874319100000001,
144,63,65,1.702076818,0,
144,70,71,1.88332999,0,
128,63,59,1.8875023260000001,0.0041723360000000004,
144,60,62,2.03958216,0,
128,70,59,2.0676998810000002,0.028117721000000002,
144,63,71,2.192687901,0,
128,60,66,2.2093427020000003,0.016654801,
144,70,73,2.3729009710000004,0,
128,63,64,2.3749871390000004,0.0020861680000000002,
144,60,64,2.5447801260000005,0,
177,64,0,0.0,0,
144,60,55,1.52188245,0.0,
